box_id,x,y,z,width,height,depth,placement_order,is_fragile,
6,0,0,0,5,5,5,1,0,
3,5,0,0,5,4,3,2,0,
18,5,4,0,4,5,4,3,0,
21,0,5,0,5,2,4,4,0,
19,5,4,4,3,3,4,5,0,
26,0,5,4,3,2,5,6,0,
12,5,0,3,4,4,2,7,0,
25,8,4,4,1,5,4,8,0,
27,0,7,0,5,3,2,9,0,
5,0,0,5,5,3,2,10,0,
20,9,4,0,1,5,5,11,0,
30,5,7,4,3,2,4,12,0,
29,8,4,8,1,5,2,13,0,
28,5,7,8,3,2,2,14,0,
24,0,7,2,2,1,5,15,0,
23,3,5,4,1,1,5,16,0,
22,9,0,3,1,4,1,17,0,
17,0,3,5,3,1,2,18,0,
15,9,4,5,1,5,3,19,0,
13,0,0,7,5,2,3,20,0,
16,3,3,5,2,2,2,21,0,
14,5,0,5,4,2,2,22,0,
11,9,4,8,1,4,1,23,0,
10,5,0,7,4,2,2,24,0,
9,9,0,4,1,3,3,25,0,
8,0,2,7,5,1,3,26,0,
7,2,7,2,2,3,1,27,0,
4,2,7,3,2,1,5,28,0,
2,2,8,3,2,1,5,29,0,
1,5,2,5,3,1,5,30,0,
