placement_order,box_id,x,y,z,width,height,depth,is_fragile
1,1,0.0,0.0,0.0,1.0,3.0,5.0,False
2,2,1.0,0.0,0.0,5.0,2.0,1.0,False
3,3,6.0,0.0,0.0,5.0,4.0,3.0,False
4,4,11.0,0.0,0.0,5.0,1.0,2.0,False
5,5,16.0,0.0,0.0,3.0,2.0,5.0,False
6,20,0.0,4.0,0.0,5.0,5.0,1.0,False
7,6,0.0,0.0,5.0,5.0,5.0,5.0,False
8,7,5.0,0.0,5.0,3.0,1.0,2.0,True
9,8,8.0,0.0,5.0,1.0,3.0,5.0,False
10,9,9.0,0.0,5.0,3.0,1.0,3.0,True
11,10,12.0,0.0,5.0,2.0,4.0,2.0,False
12,11,14.0,0.0,5.0,4.0,1.0,1.0,True
13,12,0.0,0.0,6.0,2.0,4.0,4.0,False
14,13,2.0,0.0,6.0,2.0,5.0,3.0,False
15,14,4.0,0.0,6.0,2.0,4.0,2.0,False
16,15,6.0,0.0,6.0,1.0,3.0,5.0,False
17,16,7.0,0.0,6.0,2.0,2.0,2.0,False
18,17,9.0,0.0,6.0,3.0,2.0,1.0,False
19,18,12.0,0.0,6.0,5.0,4.0,4.0,False
20,19,17.0,0.0,6.0,3.0,4.0,3.0,False
