placement_order,box_id,x,y,z,width,height,depth,is_fragile
1,20,0.0,0.0,0.0,5.0,5.0,1.0,False
2,8,5.0,0.0,0.0,1.0,3.0,5.0,False
3,23,6.0,0.0,0.0,1.0,1.0,5.0,True
4,30,7.0,0.0,0.0,4.0,3.0,2.0,False
5,3,11.0,0.0,0.0,5.0,4.0,3.0,False
6,26,16.0,0.0,0.0,2.0,5.0,3.0,False
7,6,0.0,3.0,0.0,5.0,5.0,5.0,False
8,21,5.0,3.0,0.0,2.0,4.0,5.0,False
9,4,7.0,3.0,0.0,2.0,5.0,1.0,False
10,2,9.0,3.0,0.0,1.0,2.0,5.0,False
11,24,10.0,3.0,0.0,5.0,2.0,1.0,False
12,22,15.0,3.0,0.0,1.0,4.0,1.0,False
13,10,16.0,3.0,0.0,2.0,4.0,2.0,False
14,17,0.0,3.0,2.0,2.0,3.0,1.0,False
15,14,2.0,3.0,2.0,4.0,2.0,2.0,False
16,15,6.0,3.0,2.0,3.0,1.0,5.0,False
17,9,9.0,3.0,2.0,3.0,1.0,3.0,True
18,28,12.0,3.0,2.0,2.0,3.0,2.0,True
19,7,14.0,3.0,2.0,3.0,2.0,1.0,True
20,25,17.0,3.0,2.0,1.0,5.0,4.0,False
21,12,0.0,0.0,3.0,2.0,4.0,4.0,False
22,18,2.0,0.0,3.0,4.0,4.0,5.0,False
23,16,6.0,0.0,3.0,2.0,2.0,2.0,False
24,1,8.0,0.0,3.0,5.0,3.0,1.0,False
25,5,13.0,0.0,3.0,5.0,3.0,2.0,False
26,27,0.0,0.0,5.0,5.0,2.0,3.0,False
27,13,5.0,0.0,5.0,5.0,2.0,3.0,False
28,11,10.0,0.0,5.0,4.0,1.0,1.0,True
29,19,14.0,0.0,5.0,4.0,3.0,3.0,False
30,29,0.0,3.0,6.0,5.0,2.0,1.0,False
