placement_order,box_id,x,y,z,width,height,depth,is_fragile
1,1,0.0,0.0,0.0,1.0,3.0,5.0,False
2,2,1.0,0.0,0.0,5.0,2.0,1.0,False
3,3,6.0,0.0,0.0,5.0,4.0,3.0,False
4,4,11.0,0.0,0.0,5.0,1.0,2.0,False
5,5,16.0,0.0,0.0,3.0,2.0,5.0,True
6,6,19.0,0.0,0.0,5.0,5.0,5.0,True
7,7,0.0,0.0,5.0,3.0,1.0,2.0,False
8,8,3.0,0.0,5.0,1.0,3.0,5.0,False
9,9,4.0,0.0,5.0,3.0,1.0,3.0,False
10,10,7.0,0.0,5.0,2.0,4.0,2.0,False
11,11,9.0,0.0,5.0,4.0,1.0,1.0,False
12,12,13.0,0.0,5.0,2.0,4.0,4.0,False
13,13,15.0,0.0,5.0,2.0,5.0,3.0,True
14,14,17.0,0.0,5.0,2.0,4.0,2.0,False
15,15,19.0,0.0,5.0,1.0,3.0,5.0,True
16,16,0.0,3.0,0.0,2.0,2.0,2.0,False
17,17,2.0,3.0,0.0,3.0,2.0,1.0,False
18,18,5.0,3.0,0.0,5.0,4.0,4.0,False
19,19,10.0,3.0,0.0,3.0,4.0,3.0,False
20,20,13.0,3.0,0.0,5.0,5.0,1.0,False
21,21,18.0,3.0,0.0,2.0,5.0,4.0,False
22,22,0.0,3.0,4.0,4.0,1.0,1.0,False
23,23,4.0,3.0,4.0,1.0,1.0,5.0,True
24,24,5.0,3.0,4.0,5.0,1.0,2.0,True
25,25,10.0,3.0,4.0,5.0,4.0,1.0,False
26,26,15.0,3.0,4.0,2.0,3.0,5.0,False
27,27,17.0,3.0,4.0,5.0,3.0,2.0,True
28,28,0.0,3.0,6.0,2.0,2.0,3.0,False
29,29,2.0,3.0,6.0,2.0,5.0,1.0,False
30,30,4.0,3.0,6.0,4.0,3.0,2.0,False
