placement_order,box_id,x,y,z,width,height,depth,is_fragile
1,12,0.0,0.0,0.0,4.0,2.0,4.0,False
2,4,4.0,0.0,0.0,1.0,2.0,5.0,False
3,25,5.0,0.0,0.0,1.0,4.0,5.0,False
4,9,6.0,0.0,0.0,3.0,1.0,3.0,False
5,22,9.0,0.0,0.0,4.0,1.0,1.0,False
6,20,13.0,0.0,0.0,5.0,1.0,5.0,False
7,21,18.0,0.0,0.0,4.0,5.0,2.0,False
8,17,0.0,0.0,2.0,2.0,3.0,1.0,False
9,16,2.0,0.0,2.0,2.0,2.0,2.0,False
10,10,4.0,0.0,2.0,2.0,2.0,4.0,False
11,24,6.0,0.0,2.0,5.0,1.0,2.0,True
12,19,11.0,0.0,2.0,3.0,4.0,3.0,False
13,2,14.0,0.0,2.0,5.0,1.0,2.0,False
14,3,19.0,0.0,2.0,5.0,4.0,3.0,False
15,18,0.0,0.0,5.0,4.0,4.0,5.0,False
16,15,4.0,0.0,5.0,3.0,5.0,1.0,True
17,26,7.0,0.0,5.0,5.0,3.0,2.0,False
18,6,12.0,0.0,5.0,5.0,5.0,5.0,True
19,11,17.0,0.0,5.0,4.0,1.0,1.0,False
20,13,0.0,0.0,6.0,2.0,3.0,5.0,True
21,27,2.0,0.0,6.0,5.0,3.0,2.0,True
22,30,7.0,0.0,6.0,2.0,4.0,3.0,False
23,1,9.0,0.0,6.0,3.0,5.0,1.0,False
24,5,12.0,0.0,6.0,5.0,2.0,3.0,True
25,23,17.0,0.0,6.0,1.0,5.0,1.0,True
26,29,18.0,0.0,6.0,1.0,2.0,5.0,False
27,28,19.0,0.0,6.0,2.0,2.0,3.0,False
28,7,0.0,2.0,0.0,1.0,2.0,3.0,False
29,14,1.0,2.0,0.0,4.0,2.0,2.0,False
30,8,5.0,2.0,0.0,1.0,5.0,3.0,False
