placement_order,box_id,x,y,z,width,height,depth,is_fragile
1,9,17,0,0,3.0,1.0,3.0,False
2,24,5,5,4,5.0,1.0,2.0,True
3,6,0,0,0,5.0,5.0,5.0,True
4,23,12,5,0,1.0,1.0,5.0,True
5,27,0,5,0,5.0,3.0,2.0,True
6,15,15,0,0,1.0,3.0,5.0,True
7,28,10,4,0,2.0,2.0,3.0,False
8,22,0,7,4,4.0,1.0,1.0,False
9,12,10,0,0,2.0,4.0,4.0,False
10,29,9,0,4,2.0,5.0,1.0,False
11,3,0,0,5,5.0,4.0,3.0,False
12,5,12,0,0,3.0,2.0,5.0,True
13,11,8,4,3,4.0,1.0,1.0,False
14,18,5,0,0,5.0,4.0,4.0,False
15,4,9,0,6,5.0,1.0,2.0,False
16,21,5,0,4,2.0,5.0,4.0,False
17,8,16,0,0,1.0,3.0,5.0,False
18,25,0,4,5,5.0,4.0,1.0,False
19,16,2,4,6,2.0,2.0,2.0,False
20,10,0,4,6,2.0,4.0,2.0,False
21,14,8,4,0,2.0,4.0,2.0,False
22,1,14,2,0,1.0,3.0,5.0,False
23,20,9,0,5,5.0,5.0,1.0,False
24,30,0,5,2,4.0,3.0,2.0,False
25,13,7,0,4,2.0,5.0,3.0,True
26,19,5,4,0,3.0,4.0,3.0,False
27,7,5,6,4,3.0,1.0,2.0,False
28,2,0,5,4,5.0,2.0,1.0,False
29,26,12,2,0,2.0,3.0,5.0,False
30,17,5,4,3,3.0,2.0,1.0,False
